2019-04-17T08:07:54.421,Registration1192897361,1KM
2019-04-17T08:07:57.419,Registration1156322381,1KM
2019-04-17T08:08:01.925,Registration1359354399,1KM
2019-04-17T08:08:02.920,Registration1162682408,1KM
2019-04-17T08:08:16.039,Registration1266410231,1KM
2019-04-17T08:08:16.787,Registration1154317922,1KM
2019-04-17T08:08:18.042,Registration346763945,1KM
2019-04-17T08:08:18.789,Registration183804076,1KM
2019-04-17T08:08:19.551,Registration484416344,1KM
2019-04-17T08:08:20.291,Registration1048849792,1KM
2019-04-17T08:08:22.611,Registration468661614,1KM
2019-04-17T08:08:23.407,Registration1948483692,1KM
2019-04-17T08:08:24.406,Registration1032005890,1KM
2019-04-17T08:08:25.141,Registration329553634,1KM
2019-04-17T08:18:35.994,Registration323127530,1KM
2019-04-17T08:18:37.241,Registration1366130623,1KM
2019-04-17T08:18:37.988,Registration146007554,1KM
2019-04-17T08:18:38.686,Registration79688417,1KM
2019-04-17T08:18:39.743,Registration17368809,1KM
2019-04-17T08:18:40.991,Registration409689281,1KM
2019-04-17T08:18:41.493,Registration11991688,1KM
2019-04-17T08:18:42.073,Registration1402981781,1KM
2019-04-17T08:18:42.746,Registration1732770414,1KM
2019-04-17T08:18:43.993,Registration1353653623,1KM
2019-04-17T08:18:44.996,Registration1505848684,1KM
2019-04-17T08:18:46.002,Registration987595275,1KM
2019-04-17T08:18:46.748,Registration1089610622,1KM
2019-04-17T08:18:47.499,Registration931031104,1KM
2019-04-17T08:18:48.161,Registration1078731214,1KM
2019-04-17T08:18:49.912,Registration407143611,1KM
2019-04-17T08:25:18.512,Registration1553971474,1KM
2019-04-17T08:27:41.423,Registration1553971474,1KM
2019-04-17T08:28:27.148,Registration1366130623,1KM
2019-04-17T08:28:29.141,Registration17368809,1KM
2019-04-17T08:28:31.643,Registration409689281,1KM
2019-04-17T08:28:32.646,Registration515328857,1KM
2019-04-17T08:28:33.900,Registration987595275,1KM
2019-04-17T08:28:44.513,Registration1325990511,1KM
2019-04-17T08:28:45.513,Registration1402981781,1KM
2019-04-17T08:28:46.512,Registration1073004260,1KM
2019-04-17T08:28:47.016,Registration625192824,1KM
2019-04-17T08:28:47.671,Registration1034293701,1KM
2019-04-17T08:28:48.270,Registration1568310729,1KM
2019-04-17T08:28:49.517,Registration407143611,1KM
2019-04-17T08:28:52.518,Registration1016994327,1KM
2019-04-17T08:33:27.834,Registration1167158471,1KM
2019-04-17T08:33:28.821,Registration323127530,1KM
2019-04-17T08:33:29.848,Registration1366130623,1KM
2019-04-17T08:33:30.573,Registration634895925,1KM
2019-04-17T08:33:33.829,Registration515328857,1KM
2019-04-17T08:33:35.082,Registration987595275,1KM
2019-04-17T08:33:37.329,Registration1089610622,1KM
2019-04-17T08:33:42.101,Registration625192824,1KM
2019-04-17T08:33:43.104,Registration1601793825,1KM
2019-04-17T08:33:43.856,Registration1568310729,1KM
2019-04-17T08:33:44.603,Registration407143611,1KM
2019-04-17T08:33:45.607,Registration1073004260,1KM
2019-04-17T08:33:47.861,Registration1331822932,1KM
2019-04-17T08:33:48.862,Registration1071157049,1KM
2019-04-17T08:33:49.607,Registration1016994327,1KM
2019-04-17T08:33:50.359,Registration414283486,1KM
2019-04-17T08:33:51.366,Registration1329759540,1KM
2019-04-17T08:33:52.370,Registration1526566650,1KM
2019-04-17T08:37:15.387,Registration1568310729,1KM
2019-04-17T08:37:16.377,Registration634895925,1KM
2019-04-17T08:37:17.629,Registration1073004260,1KM
2019-04-17T08:37:18.630,Registration1071157049,1KM
2019-04-17T08:37:19.881,Registration1329759540,1KM
2019-04-17T08:37:22.357,Registration1553971474,1KM
2019-04-17T08:41:30.034,Registration1568310729,1KM
2019-04-17T08:41:42.030,Registration1526566650,1KM
2019-04-17T08:42:54.491,Registration634895925,1KM
2019-04-17T08:43:22.489,Registration558472433,1KM
2019-04-17T08:43:26.490,Registration1505848684,1KM
2019-04-17T08:43:30.491,Registration558472433,1KM
2019-04-17T08:43:34.492,Registration1167158471,1KM
2019-04-17T08:43:37.493,Registration11991688,1KM
2019-04-17T08:43:50.495,Registration146007554,1KM
2019-04-17T08:43:56.497,Registration1505848684,1KM
2019-04-17T08:43:59.496,Registration1402981781,1KM
2019-04-17T08:44:03.490,Registration1034293701,1KM
2019-04-17T08:44:08.500,Registration769831277,1KM
2019-04-17T08:44:18.503,Registration496118894,1KM
2019-04-17T08:44:30.506,Registration546399834,1KM
2019-04-17T08:45:34.937,Registration104133021,1KM
2019-04-17T08:48:07.814,Registration1073004260,1KM
2019-04-17T08:48:09.305,Registration515328857,1KM
2019-04-17T08:48:10.307,Registration634895925,1KM
2019-04-17T08:48:11.557,Registration1329759540,1KM
2019-04-17T08:48:13.309,Registration987595275,1KM
2019-04-17T08:48:22.068,Registration1708709393,1KM
2019-04-17T08:48:22.569,Registration1325990511,1KM
2019-04-17T08:48:23.574,Registration1867219086,1KM
2019-04-17T08:48:24.323,Registration1402981781,1KM
2019-04-17T08:48:25.329,Registration1916142389,1KM
2019-04-17T08:48:25.833,Registration409689281,1KM
2019-04-17T08:48:27.084,Registration1732770414,1KM
2019-04-17T08:48:27.833,Registration230653151,1KM
2019-04-17T08:48:28.586,Registration1353653623,1KM
2019-04-17T08:48:29.335,Registration1034293701,1KM
2019-04-17T08:48:29.838,Registration1078731214,1KM
2019-04-17T08:48:30.589,Registration340366430,1KM
2019-04-17T08:48:31.337,Registration340366430,1KM
2019-04-17T08:48:32.089,Registration1325990511,1KM
2019-04-17T08:48:32.829,Registration1867219086,1KM
2019-04-17T08:48:33.331,Registration146007554,1KM
2019-04-17T08:48:34.344,Registration409689281,1KM
